unet3+_aspp
Epoch: 1, Acc: 0.3148286850726018, Acc_class: 0.17425470329079526, mIoU: 0.07035659322767958, fwIoU: 0.2124893885669037, best_fwIoU: 0.2124893885669037, Loss: 1.038
Epoch: 2, Acc: 0.48215162558633773, Acc_class: 0.11337264070540085, mIoU: 0.05940682600940943, fwIoU: 0.26299918109137504, best_fwIoU: 0.26299918109137504, Loss: 1.240
Epoch: 3, Acc: 0.3064590516637583, Acc_class: 0.24514861506390306, mIoU: 0.13395044534068803, fwIoU: 0.20405850953904311, best_fwIoU: 0.26299918109137504, Loss: 0.872
Epoch: 4, Acc: 0.5404715616194928, Acc_class: 0.2563564588850015, mIoU: 0.1671715499845136, fwIoU: 0.3542796897551582, best_fwIoU: 0.3542796897551582, Loss: 0.696
Epoch: 5, Acc: 0.49397978235463624, Acc_class: 0.15966483755272992, mIoU: 0.09945144534396476, fwIoU: 0.28641586876953296, best_fwIoU: 0.3542796897551582, Loss: 0.880
Epoch: 6, Acc: 0.5495104242543705, Acc_class: 0.3405744987991467, mIoU: 0.2127289721095386, fwIoU: 0.3929667035300257, best_fwIoU: 0.3929667035300257, Loss: 0.635
Epoch: 7, Acc: 0.5172530940321626, Acc_class: 0.2501112924671343, mIoU: 0.14019744663550535, fwIoU: 0.34557363239173905, best_fwIoU: 0.3929667035300257, Loss: 0.799
Epoch: 8, Acc: 0.4265887776359183, Acc_class: 0.2416441578846915, mIoU: 0.12934803838629333, fwIoU: 0.3201434798478189, best_fwIoU: 0.3929667035300257, Loss: 1.027
Epoch: 9, Acc: 0.6099342909015593, Acc_class: 0.4021533626315133, mIoU: 0.26796538493096433, fwIoU: 0.4436605080419833, best_fwIoU: 0.4436605080419833, Loss: 0.549
Epoch: 10, Acc: 0.35846879052334146, Acc_class: 0.22844491075622794, mIoU: 0.10866007541799735, fwIoU: 0.25380982768202914, best_fwIoU: 0.4436605080419833, Loss: 0.932
Epoch: 11, Acc: 0.6165201781225986, Acc_class: 0.40944185369557473, mIoU: 0.2740606358105205, fwIoU: 0.44650853493604786, best_fwIoU: 0.44650853493604786, Loss: 0.550
